,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,hair dryer,shampoo,hot water,washing machine,hangers,bed linen,security,work,wi-fi,kitchen,refrigerator,dishwasher,family,attractions nearby,outdoor,parkering and faciliteter,pool etc.,host,other,cleaning products,temperature,blackout curtains,entertainment,mailbox,view,fireplace,fitness equipment,smoking allowed,Sights,Safety,Shopping,Location,Climate,Affordability
22,Stockholm,2024-05-17,1,747.0,4.89,9,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
23,Stockholm,2024-05-17,1,398.0,4.80,64,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
24,Stockholm,2024-05-17,1,297.0,4.91,193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
25,Stockholm,2024-05-17,1,223.0,4.89,9,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
26,Stockholm,2024-05-17,1,482.0,4.56,174,4.0,2.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,6.75,8.75,6.25,9.0,5.0,1.5
27,Stockholm,2024-05-17,1,319.0,5.0,10,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
28,Stockholm,2024-05-17,1,361.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
29,Stockholm,2024-05-17,1,364.0,,,2.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
30,Stockholm,2024-05-17,1,260.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
31,Stockholm,2024-05-17,1,358.0,4.90,88,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
32,Stockholm,2024-05-17,1,306.0,5.0,12,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
33,Stockholm,2024-05-17,1,260.0,4.40,47,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
34,Stockholm,2024-05-17,1,231.0,4.88,8,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,6.75,8.75,6.25,9.0,5.0,1.5
35,Stockholm,2024-05-17,1,371.0,4.47,17,,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
36,Stockholm,2024-05-17,1,383.0,5.0,4,2.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,6.75,8.75,6.25,9.0,5.0,1.5
37,Stockholm,2024-05-17,1,371.0,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
38,Stockholm,2024-05-17,1,418.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
39,Stockholm,2024-05-17,1,408.0,5.0,9,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
