,city,date,treat,price,rating,omtaler,gæster,soveværelser,hair dryer,shampoo,hot water,washing machine,hangers,work,wi-fi,kitchen,gæster,bed linen,security,refrigerator,outdoor,parkering and faciliteter,host,mailbox,entertainment,temperature,other,cleaning products,family,dishwasher,attractions nearby,view,smoking allowed,blackout curtains,pool etc.,fitness equipment,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
23,Krakow,2024-08-01,0,223.0,4.70,30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
24,Krakow,2024-08-01,0,142.0,3.93,68,,6.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
25,Krakow,2024-08-01,0,334.0,4.0,4,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
26,Krakow,2024-08-01,0,217.0,4.91,22,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
27,Krakow,2024-08-01,0,247.0,4.39,28,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
28,Krakow,2024-08-01,0,187.0,4.56,113,,3.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
29,Krakow,2024-08-01,0,334.0,,,3.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,3.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
30,Krakow,2024-08-01,0,251.0,4.66,50,,3.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
31,Krakow,2024-08-01,0,226.0,4.56,55,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
32,Krakow,2024-08-01,0,201.0,5.0,3,,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
33,Krakow,2024-08-01,0,216.0,4.50,8,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
34,Krakow,2024-08-01,0,211.0,4.33,3,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
35,Krakow,2024-08-01,0,,4.89,9,,8.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
36,Krakow,2024-08-01,0,118.0,,,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
37,Krakow,2024-08-01,0,120.0,3.80,10,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
38,Krakow,2024-08-01,0,159.0,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
39,Krakow,2024-08-01,0,121.0,3.43,7,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
40,Krakow,2024-08-01,0,236.0,,,,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
41,Krakow,2024-08-01,0,217.0,4.15,26,,5.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
42,Krakow,2024-08-01,0,,5.0,7,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,7.7,6.75,6.0,6.25,5.0,5.25
43,Krakow,2024-08-01,0,151.0,3.29,7,,5.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
44,Krakow,2024-08-01,0,246.0,5.0,6,,2.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
45,Krakow,2024-08-01,0,217.0,4.50,4,,5.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
46,Krakow,2024-08-01,0,154.0,,,,2.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
47,Krakow,2024-08-01,0,341.0,,,,2.0,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
48,Krakow,2024-08-01,0,,4.50,4,,8.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
49,Krakow,2024-08-01,0,301.0,,,,2.0,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
50,Krakow,2024-08-01,0,150.0,,,1.0,8.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
51,Krakow,2024-08-01,0,222.0,4.75,4,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
52,Krakow,2024-08-01,0,,,,,8.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
53,Krakow,2024-08-01,0,191.0,4.73,12,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
54,Krakow,2024-08-01,0,146.0,,,1.0,10.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
55,Krakow,2024-08-01,0,341.0,,,,3.0,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
56,Krakow,2024-08-01,0,,,,,8.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
57,Krakow,2024-08-01,0,256.0,4.75,4,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
58,Krakow,2024-08-01,0,146.0,3.90,29,,5.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
59,Krakow,2024-08-01,0,118.0,,,,8.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
