,city,date,treat,price,rating,omtaler,gæster,soveværelser,other,cleaning products,hot water,washing machine,hangers,security,work,wi-fi,kitchen,refrigerator,parkering and faciliteter,smoking allowed,shampoo,blackout curtains,entertainment,gæster,hair dryer,temperature,family,attractions nearby,host,bed linen,outdoor,dishwasher,view,mailbox,fitness equipment,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
24,Madrid,2024-05-29,1,167.0,4.89,9,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
25,Madrid,2024-05-29,1,180.0,,,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
26,Madrid,2024-05-29,1,189.0,4.60,5,16.0,28.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,16.0,,,,,,,,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
27,Madrid,2024-05-29,1,149.0,4.95,41,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,7.5,7.0,7.5,5.25,8.75,3.75
28,Madrid,2024-05-29,1,184.0,4.79,28,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
29,Madrid,2024-05-29,1,176.0,4.83,6,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
30,Madrid,2024-05-29,1,154.0,5.0,15,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
31,Madrid,2024-05-29,1,193.0,4.72,18,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
32,Madrid,2024-05-29,1,176.0,4.95,93,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
33,Madrid,2024-05-29,1,180.0,4.39,56,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
34,Madrid,2024-05-29,1,209.0,,,,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
35,Madrid,2024-05-29,1,184.0,4.65,23,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
36,Madrid,2024-05-29,1,168.0,4.50,4,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
