,city,date,treat,price,rating,omtaler,gæster,soveværelser,hot water,hangers,bed linen,security,work,wi-fi,kitchen,parkering and faciliteter,hair dryer,other,cleaning products,shampoo,blackout curtains,entertainment,temperature,refrigerator,outdoor,gæster,attractions nearby,family,dishwasher,washing machine,view,smoking allowed,host,mailbox,fitness equipment,fireplace,pool etc.,Sights,Safety,Shopping,Location,Climate,Affordability
23,Lyon,2024-06-02,1,403,4.82,66,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
24,Lyon,2024-06-02,1,271,4.91,35,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
25,Lyon,2024-06-02,1,200,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
26,Lyon,2024-06-02,1,260,4.84,51,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
27,Lyon,2024-06-02,1,359,4.87,15,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
28,Lyon,2024-06-02,1,269,4.72,196,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
29,Lyon,2024-06-02,1,430,4.79,160,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,6.25,6.75,5.5,7.25,6.75,3.5
30,Lyon,2024-06-02,1,342,4.60,47,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
31,Lyon,2024-06-02,1,360,4.77,101,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
32,Lyon,2024-06-02,1,377,4.96,73,,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
33,Lyon,2024-06-02,1,348,5.0,10,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
34,Lyon,2024-06-02,1,400,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
35,Lyon,2024-06-02,1,432,4.82,11,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
36,Lyon,2024-06-02,1,313,4.86,129,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
37,Lyon,2024-06-02,1,377,4.93,29,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
38,Lyon,2024-06-02,1,271,4.92,25,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,6.25,6.75,5.5,7.25,6.75,3.5
39,Lyon,2024-06-02,1,269,4.78,95,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
40,Lyon,2024-06-02,1,404,5.0,6,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
41,Lyon,2024-06-02,1,404,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
42,Lyon,2024-06-02,1,430,5.0,12,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
43,Lyon,2024-06-02,1,404,5.0,44,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,6.25,6.75,5.5,7.25,6.75,3.5
44,Lyon,2024-06-02,1,403,4.80,130,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
45,Lyon,2024-06-02,1,271,4.68,19,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,6.25,6.75,5.5,7.25,6.75,3.5
46,Lyon,2024-06-02,1,360,4.94,67,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,6.25,6.75,5.5,7.25,6.75,3.5
47,Lyon,2024-06-02,1,360,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,6.25,6.75,5.5,7.25,6.75,3.5
48,Lyon,2024-06-02,1,377,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
49,Lyon,2024-06-02,1,359,4.41,137,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,6.25,6.75,5.5,7.25,6.75,3.5
50,Lyon,2024-06-02,1,271,4.85,27,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
51,Lyon,2024-06-02,1,494,4.89,19,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,6.25,6.75,5.5,7.25,6.75,3.5
52,Lyon,2024-06-02,1,315,4.44,18,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
53,Lyon,2024-06-02,1,412,5.0,8,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
54,Lyon,2024-06-02,1,296,4.98,43,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
55,Lyon,2024-06-02,1,450,4.59,44,4.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,4.0,1.0,1.0,,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
56,Lyon,2024-06-02,1,315,4.95,39,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
