,city,date,treat,price,rating,omtaler,gæster,hårtørrer,shampoo,sengetøj,underholdning,familie,køleskab,opvaskemasine,ting i nærheden,røgalarm,tv,vaskemaskine,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
42,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
43,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
44,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
45,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
46,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
47,Bologna,2024-06-02,0,291.0,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
48,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
49,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
50,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
51,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
52,Bologna,2024-06-02,0,358.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
53,Bologna,2024-06-02,0,,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
54,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
55,Bologna,2024-06-02,0,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
56,Bologna,2024-06-02,0,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
57,Bologna,2024-06-02,0,,,,,1.0,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
58,Bologna,2024-06-02,0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
59,Bologna,2024-06-02,0,298.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
60,Bologna,2024-06-02,0,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
61,Bologna,2024-06-02,0,373.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
62,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
63,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
64,Bologna,2024-06-02,0,,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
65,Bologna,2024-06-02,0,335.0,,,,,,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
66,Bologna,2024-06-02,0,261.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
67,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
68,Bologna,2024-06-02,0,,,,,1.0,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
69,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
70,Bologna,2024-06-02,0,298.0,,,,,,,,,1.0,1.0,,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
71,Bologna,2024-06-02,0,,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
72,Bologna,2024-06-02,0,373.0,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
73,Bologna,2024-06-02,0,,,,,,,1.0,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
74,Bologna,2024-06-02,0,298.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
75,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
76,Bologna,2024-06-02,0,,,,,,,,1.0,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
77,Bologna,2024-06-02,0,328.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
78,Bologna,2024-06-02,0,246.0,,,,1.0,1.0,1.0,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
79,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
80,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
81,Bologna,2024-06-02,0,395.0,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
82,Bologna,2024-06-02,0,,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
83,Bologna,2024-06-02,0,,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
84,Bologna,2024-06-02,0,261.0,,,,,,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
85,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
86,Bologna,2024-06-02,0,,,,,1.0,,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
87,Bologna,2024-06-02,0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
88,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
89,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
90,Bologna,2024-06-02,0,298.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
91,Bologna,2024-06-02,0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
92,Bologna,2024-06-02,0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
93,Bologna,2024-06-02,0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
94,Bologna,2024-06-02,0,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
95,Bologna,2024-06-02,0,373.0,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
96,Bologna,2024-06-02,0,,,,,,,1.0,,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
97,Bologna,2024-06-02,0,253.0,,,,,1.0,,,,,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
98,Bologna,2024-06-02,0,261.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
99,Bologna,2024-06-02,0,,,,,1.0,1.0,,,,,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
100,Bologna,2024-06-02,0,373.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
101,Bologna,2024-06-02,0,335.0,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
102,Bologna,2024-06-02,0,373.0,,,,,,,,,,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
103,Bologna,2024-06-02,0,,,,2.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
104,Bologna,2024-06-02,0,410.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
105,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
106,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,6.4,6.5,5.5,5.5,6.5,4.25
107,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
108,Bologna,2024-06-02,0,298.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
109,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
110,Bologna,2024-06-02,0,335.0,,,,,1.0,,,,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
111,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
112,Bologna,2024-06-02,0,224.0,,,,,,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
113,Bologna,2024-06-02,0,522.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
114,Bologna,2024-06-02,0,410.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
115,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,,,1.0,,,,,6.4,6.5,5.5,5.5,6.5,4.25
116,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
117,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
118,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,6.4,6.5,5.5,5.5,6.5,4.25
119,Bologna,2024-06-02,0,395.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
120,Bologna,2024-06-02,0,410.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
121,Bologna,2024-06-02,0,219.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
122,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
123,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
124,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
125,Bologna,2024-06-02,0,,,,,,,,,,1.0,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
126,Bologna,2024-06-02,0,201.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,6.4,6.5,5.5,5.5,6.5,4.25
127,Bologna,2024-06-02,0,149.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
128,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
129,Bologna,2024-06-02,0,365.0,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
130,Bologna,2024-06-02,0,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
131,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
132,Bologna,2024-06-02,0,,,,,1.0,,,1.0,,,,,,1.0,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
133,Bologna,2024-06-02,0,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
134,Bologna,2024-06-02,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,6.4,6.5,5.5,5.5,6.5,4.25
135,Bologna,2024-06-02,0,,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
136,Bologna,2024-06-02,0,395.0,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,6.4,6.5,5.5,5.5,6.5,4.25
137,Bologna,2024-06-02,0,261.0,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,6.4,6.5,5.5,5.5,6.5,4.25
