,city,date,treat,price,rating,omtaler,hårtørrer,køleskab,ting i nærheden,sengetøj,underholdning,familie,røgalarm,opvaskemasine,shampoo,kaffe,vaskemaskine,tv,gæster,Sights,Safety,Shopping,Location,Climate,Affordability
40,Lisbon,2024-05-24,1,,,,,,,,,1.0,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
41,Lisbon,2024-05-24,1,320.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
42,Lisbon,2024-05-24,1,,,,1.0,,1.0,,,,,1.0,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
43,Lisbon,2024-05-24,1,224.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
44,Lisbon,2024-05-24,1,,,,1.0,1.0,,,,1.0,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
45,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
46,Lisbon,2024-05-24,1,328.0,,,,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
47,Lisbon,2024-05-24,1,186.0,,,,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
48,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
49,Lisbon,2024-05-24,1,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
50,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
51,Lisbon,2024-05-24,1,,,,1.0,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
52,Lisbon,2024-05-24,1,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
53,Lisbon,2024-05-24,1,291.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
54,Lisbon,2024-05-24,1,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
55,Lisbon,2024-05-24,1,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
56,Lisbon,2024-05-24,1,320.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,2.0,7.4,7.5,6.0,7.75,6.5,3.75
57,Lisbon,2024-05-24,1,,,,1.0,,,,,,1.0,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
58,Lisbon,2024-05-24,1,,,,1.0,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
59,Lisbon,2024-05-24,1,149.0,,,,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
60,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
61,Lisbon,2024-05-24,1,,,,1.0,1.0,,,,1.0,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
62,Lisbon,2024-05-24,1,186.0,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
63,Lisbon,2024-05-24,1,231.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
