,city,date,treat,price,rating,omtaler,gæster,familie,røgalarm,køleskab,ting i nærheden,hårtørrer,vaskemaskine,underholdning,tv,opvaskemasine,sengetøj,shampoo,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
40,Stockholm,2024-05-17,1,,,,,,1.0,1.0,,,1.0,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
41,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
42,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
43,Stockholm,2024-05-17,1,318.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
44,Stockholm,2024-05-17,1,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
45,Stockholm,2024-05-17,1,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
46,Stockholm,2024-05-17,1,,,,,,,,,,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
47,Stockholm,2024-05-17,1,159.0,,,,,1.0,1.0,,,1.0,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
48,Stockholm,2024-05-17,1,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
49,Stockholm,2024-05-17,1,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,6.75,8.75,6.25,9.0,5.0,1.5
50,Stockholm,2024-05-17,1,485.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
51,Stockholm,2024-05-17,1,184.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
52,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
53,Stockholm,2024-05-17,1,349.0,,,,,1.0,,,,,1.0,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
54,Stockholm,2024-05-17,1,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
55,Stockholm,2024-05-17,1,639.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
56,Stockholm,2024-05-17,1,235.0,,,,,1.0,1.0,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
57,Stockholm,2024-05-17,1,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,6.75,8.75,6.25,9.0,5.0,1.5
58,Stockholm,2024-05-17,1,,,,,,,,,,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
59,Stockholm,2024-05-17,1,,,,,,,1.0,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
60,Stockholm,2024-05-17,1,241.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
61,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
62,Stockholm,2024-05-17,1,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
63,Stockholm,2024-05-17,1,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
64,Stockholm,2024-05-17,1,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
65,Stockholm,2024-05-17,1,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
66,Stockholm,2024-05-17,1,,,,,,1.0,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
67,Stockholm,2024-05-17,1,,,,,,1.0,,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
68,Stockholm,2024-05-17,1,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
69,Stockholm,2024-05-17,1,,,,,,,,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
70,Stockholm,2024-05-17,1,,,,,,,,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
71,Stockholm,2024-05-17,1,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
72,Stockholm,2024-05-17,1,349.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
73,Stockholm,2024-05-17,1,381.0,,,,,1.0,,,1.0,1.0,,,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
74,Stockholm,2024-05-17,1,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
75,Stockholm,2024-05-17,1,,,,,,,,,,1.0,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
76,Stockholm,2024-05-17,1,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
77,Stockholm,2024-05-17,1,,,,,,,,,,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
78,Stockholm,2024-05-17,1,,,,,,1.0,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
79,Stockholm,2024-05-17,1,,,,,,1.0,,,,1.0,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
80,Stockholm,2024-05-17,1,,,,,,,1.0,,,1.0,,,1.0,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
81,Stockholm,2024-05-17,1,,,,,,1.0,,,1.0,,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
82,Stockholm,2024-05-17,1,,,,,,1.0,,1.0,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
83,Stockholm,2024-05-17,1,475.0,,,,,1.0,,1.0,,1.0,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
84,Stockholm,2024-05-17,1,286.0,,,,,,,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
85,Stockholm,2024-05-17,1,617.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
86,Stockholm,2024-05-17,1,438.0,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,6.75,8.75,6.25,9.0,5.0,1.5
87,Stockholm,2024-05-17,1,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,6.75,8.75,6.25,9.0,5.0,1.5
88,Stockholm,2024-05-17,1,222.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
89,Stockholm,2024-05-17,1,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
90,Stockholm,2024-05-17,1,203.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
91,Stockholm,2024-05-17,1,,,,6.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,6.75,8.75,6.25,9.0,5.0,1.5
